"command","watt-median","L1-dcache-loads:u","dTLB-stores:u","dTLB-stores:u-square","dTLB-store-misses:u","dTLB-store-misses:u-square","iTLB-load-misses:u","iTLB-load-misses:u-square","branch-loads:u","branch-loads:u-square","branch-load-misses:u","L1-dcache-load-misses:u","L1-dcache-load-misses:u-square","branch-instructions:u","branch-instructions:u-square","branch-misses:u","cpu-cycles:u","instructions:u","instructions:u-square","mem-stores:u","mem-stores:u-square","ref-cycles:u","slots:u","topdown-br-mispredict:u"
"stress-ng --cpu 1 --cpu-method collatz --timeout 10s",9.155,13065886.7360163,9127636.11383656,83313741026613.4,61.9683811458634,3840.080261839,173.208100379659,30001.04603713,1753994411.09098,"3.076496394138394e+18",594480.948520992,4090.05786406809,16728573.3314252,2109578185.34656,"4.450320120090085e+18",637484.246477586,3466812592.68535,7720338213.73708,"5.960362213448904e+19",7562055.23874217,57184679433787.9,3461546895.19368,17251548256.2057,67852739.8517069
"stress-ng --cpu 1 --cpu-method correlate --timeout 10s",9.16,1402432633.4609,3901730.55354568,15223501312471.9,70.0987520151574,4913.83503408253,143.655953271524,20637.0329103503,709299328.998998,"5.0310553811842886e+17",1592760.87251965,27773247.5022426,771353276820825,855547326.689766,"7.319612282060052e+17",1920495.0634654,2867554281.97165,7845249043.05638,"6.154793254757705e+19",3241932.66103103,10510127378659.7,3468987852.91785,17223668725.7199,270355640.30669
"stress-ng --cpu 1 --cpu-method crc16 --timeout 10s",8.305,90711146.7340845,585983.120560116,343376217581.371,63.6216774685369,4047.71784391054,320.224414463659,102543.675618593,91246617.7464467,8325945250166162,172820.082486372,5594.99804044101,31304003.0725387,90961076.6817346,8273917471100403,171951.939932358,3398577414.46065,5963810092.86457,"3.5567030823753306e+19",586224.160636671,343658766514.169,3464408508.72375,20337005344.6566,212294.148432852
"stress-ng --cpu 1 --cpu-method dither --timeout 10s",10.69,1805923141.7443,1572381485.18482,"2.47238353495202e+18",195.420129862955,38189.0271556542,408.391823115331,166783.881187464,1743360871.71148,"3.039307129014611e+18",389058.498757691,48197958.9788368,2323043249725630,1734017127.17605,"3.0068153973398815e+18",349186.512599354,3450096487.12464,11887861813.8536,"1.4132125850527859e+20",1581023414.45764,"2.4996350370632945e+18",3461397783.80106,19837717010.1171,210308.512800944
"stress-ng --cpu 1 --cpu-method div8 --timeout 10s",7.5,178341.150250032,113103.063575658,12792302990.1993,63.9382258184921,4088.09672081649,240.599590476036,57888.1629372362,480775444.299208,"2.3114502784110083e+17",2164268.53875032,4926.05419256456,24266009.9080829,480829122.735313,"2.311966452704107e+17",2171551.55619562,2865792352.40865,3368532349.39818,"1.1347010188942023e+19",112506.466539011,12657705013.0936,3465528188.94223,17247230439.354,135467308.529561
"stress-ng --cpu 1 --cpu-method div32 --timeout 10s",7.555,178467.103198672,125493.003802851,15748494003.4624,60.4899830528024,3659.03804972832,114.973357292016,13218.8728869976,479926386.086614,"2.303293360621577e+17",2142838.24622973,5276.05497217329,27836756.0693945,481031953.497458,"2.3139174028558058e+17",2146794.12969594,2952071217.8521,3368734299.67571,"1.1348370781811597e+19",112511.740982463,12658891858.9048,3465835286.54476,17224527280.6378,135289114.286477
"stress-ng --cpu 1 --cpu-method div128 --timeout 10s",9.555,1025189618.57567,329112977.7473,"1.083153521216948e+17",62.8317252881965,3947.82570269139,114.194150297957,13040.3039622724,1971449907.19613,"3.88661473658363e+18",20569567.4468861,4159.81085455474,17304026.3456714,1632216190.25647,"2.664129691735345e+18",16918566.95432,2872357817.3821,13356780246.0389,"1.78403578540975e+20",395375648.162032,"1.563219031595469e+17",3467680814.40318,17247054080.3509,3719764335.34655
"stress-ng --cpu 1 --cpu-method double --timeout 10s",9.7,2259072532.26476,603763533.365243,"3.645304042216828e+17",62.575157000081,3915.65027358479,1700.47417141324,2891612.40764355,883600455.016112,"7.807497641046801e+17",10688232.0768622,11198.3377605537,125402768.599443,882175327.362021,"7.782333082062889e+17",10691691.5127945,2869615189.05325,7878360413.16033,"6.20685627996518e+19",731574475.592688,"5.352012133387164e+17",3472056275.52212,20791214042.9328,2446016458.62967
"stress-ng --cpu 1 --cpu-method euler --timeout 10s",9.515,746515714.03158,619580088.944548,"3.83879486616534e+17",62.2214947916979,3871.51441411329,196.37332510253,38562.4828118239,1126318218.88243,"1.2685927301864896e+18",3431.53672444001,5237.67870003435,27433278.1647935,1124079163.31483,"1.2635539653985684e+18",3281.82205477298,2871937497.5938,9251992000.77472,"8.559935598239939e+19",747934455.688264,"5.594059500056998e+17",3461392045.72345,17215372197.554,212424.100833478
"stress-ng --cpu 1 --cpu-method explog --timeout 10s",8.39,1123741404.04515,279533335.391682,"7.81388855951986e+16",63.8114275543524,4071.89828652436,597.472006504642,356972.798556683,660533828.564815,"4.363049386784925e+17",2959.41965951898,10390.7266449233,107967200.209519,660346787.186069,"4.360578793469635e+17",2957.12616132641,3468702400.22893,4401626971.97905,"1.9374320000453456e+19",242643089.709215,"5.887566898363415e+16",3465588102.69764,17243646983.0874,218293.520753658
